epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10144.3,0.43311,0.46031,0.89124,0.99628,1,0.995,0.86437,0.39976,0.41339,0.81439,0.000416,0.000416,0.000416
66,10291.3,0.3867,0.42242,0.87623,0.99612,1,0.995,0.86829,0.3876,0.42284,0.81153,0.00039125,0.00039125,0.00039125
67,10431.5,0.37698,0.41442,0.86951,0.99576,1,0.995,0.86337,0.38331,0.43045,0.81116,0.0003665,0.0003665,0.0003665
68,10581.8,0.36541,0.41828,0.84774,0.99601,1,0.995,0.86332,0.39398,0.42253,0.81208,0.00034175,0.00034175,0.00034175
69,10719.7,0.38532,0.4016,0.87799,0.99624,1,0.995,0.86328,0.39932,0.41402,0.81475,0.000317,0.000317,0.000317
70,10872.4,0.35198,0.39133,0.86303,0.99619,1,0.995,0.87405,0.39374,0.41338,0.81354,0.00029225,0.00029225,0.00029225
71,11029.8,0.32706,0.50781,0.83346,0.99601,1,0.995,0.87813,0.38113,0.39073,0.80384,0.0002675,0.0002675,0.0002675
72,11181.3,0.29998,0.48424,0.78188,0.99595,1,0.995,0.91788,0.38066,0.38295,0.80116,0.00024275,0.00024275,0.00024275
73,11322.3,0.2926,0.43885,0.80651,0.99633,1,0.995,0.91512,0.39001,0.39742,0.80244,0.000218,0.000218,0.000218
74,11455.8,0.30117,0.43952,0.8074,0.99655,1,0.995,0.92204,0.39252,0.3959,0.80297,0.00019325,0.00019325,0.00019325
75,11588.4,0.27163,0.4369,0.82322,0.9966,1,0.995,0.91501,0.39091,0.38383,0.8045,0.0001685,0.0001685,0.0001685
76,11725.4,0.28375,0.46261,0.82871,0.99665,1,0.995,0.92248,0.3848,0.37661,0.80333,0.00014375,0.00014375,0.00014375
77,11882.7,0.30558,0.4574,0.835,0.99661,1,0.995,0.92213,0.38519,0.37356,0.80371,0.000119,0.000119,0.000119
78,12045.4,0.27719,0.4607,0.78248,0.99659,1,0.995,0.92213,0.3879,0.36714,0.80415,9.425e-05,9.425e-05,9.425e-05
79,12198.5,0.28102,0.45551,0.82083,0.99652,1,0.995,0.92344,0.38376,0.36267,0.80364,6.95e-05,6.95e-05,6.95e-05
80,12351.7,0.27485,0.43236,0.78224,0.99656,1,0.995,0.92345,0.38071,0.35512,0.80313,4.475e-05,4.475e-05,4.475e-05
